geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00186257,61.1,37.1,1.3,0.5
E00186267,56.3,33.3,8.1,2.2
E00186270,35,61.3,3.1,0.6
E00186272,83.4,10.3,5.5,0.7
E00186276,51.4,40,2.9,5.7
E00186277,0,8.3,48.6,43.1
E00186278,4.9,63.4,28,3.7
E00186292,2.2,24.4,57.8,15.6
E00186295,0.7,39.6,32.1,27.6
E00186297,42,26,16,16
E00186301,24.6,13.1,19.7,42.6
E00186303,15.1,16.1,35.5,33.3
E00186305,9.4,87.8,0.6,2.2
E00186307,18.6,31,40.3,10.1
E00186308,64.2,35.4,0,0.5
E00186309,78.9,9.2,1.3,10.5
E00186311,14.7,27.3,38.5,19.6
E00186312,27.3,7.3,40,25.5
E00186313,31.5,29.2,30.3,9
E00186314,40,10.7,16,33.3
E00186315,13.5,28.8,30.8,26.9
E00186318,37.6,25.6,20.5,16.2
E00186319,12.7,34.9,33.3,19
