geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00010187,32.1,14.7,31.3,21.9
E00010188,25.1,9.9,48.7,16.2
E00010189,37.6,10.8,38.2,13.4
E00010190,37.3,13,27.5,22.3
E00010191,34.5,10.3,43.6,11.5
E00010192,33.3,9.7,41.7,15.3
E00010193,30.2,7.8,44.7,17.3
E00010194,43,11.5,25.8,19.7
E00010195,43.6,10.5,33.1,12.8
E00010196,23.6,34.4,17.2,24.8
E00010197,30.7,10.5,34,24.8
E00010198,29.7,13.8,34.8,21.7
E00010199,29.4,13.7,37.9,19
E00010200,39.1,12.3,20.9,27.7
E00010201,35.7,14.6,32.2,17.5
E00010202,40.7,11.5,28.6,19.2
E00010204,38.2,16,25.2,20.6
E00010205,36.3,17.6,32.6,13.5
E00010206,35.4,12.4,28.3,23.9
E00010207,41.2,11.8,26.1,20.9
E00010208,36.2,10.6,31.9,21.3
E00010209,35.9,11.1,32,20.9
E00010210,23.8,11.9,46.3,18.1
E00010211,32.1,10.9,40,17
E00010212,35.9,13.6,31.3,19.2
E00010258,33.1,8.5,32.4,26.1
E00010259,33.2,7.7,43.2,15.9
E00010260,37.7,8,39.6,14.6
E00010261,25.7,7.9,41.6,24.8
E00010263,24.7,13,32,30.3
E00010266,33.3,7.7,42.5,16.4
E00010268,33.8,5.7,46.7,13.8
E00010269,31.2,7,45.2,16.6
E00010270,36.3,8.4,42.3,13
E00010271,31.2,8.6,46.2,14
E00010272,39.9,6,38.3,15.8
E00010277,40.7,7.1,45.7,6.4
E00010278,39.2,17.6,26.4,16.8
E00010279,35.5,7.7,44,12.9
E00010280,39.4,4.4,46.8,9.4
E00010281,38.4,6.2,43.1,12.3
E00010282,32.7,8.1,42.2,17.1
E00010283,26.2,5.9,52,15.8
E00010284,31.4,7.9,46.1,14.7
E00010285,43.9,9.3,30.8,16
E00010286,35.2,6.1,45.9,12.8
E00010287,39.6,8.6,38,13.7
E00010289,59.4,5.2,18.7,16.8
E00010290,32.8,14.4,33.8,19
E00010291,28.3,9,44.8,17.9
E00010292,31.5,5.5,38.4,24.7
E00010310,27.8,5.9,48.4,17.9
E00010311,35.3,8.4,42.3,14
E00010318,38.6,12.3,36.8,12.3
E00010319,45.8,7.3,35.2,11.7
E00010326,33.6,12.4,41.6,12.4
E00010327,32.7,7.3,51.2,8.8
E00010328,37.4,4.9,42,15.6
E00010334,26.5,4.7,62.4,6.5
E00010335,22.4,4.2,68.5,4.9
E00010336,32.7,6.8,55.6,4.9
E00010337,30.2,4.7,54.1,11
E00010338,19.7,3.1,71.7,5.4
E00010339,23.2,6.1,64,6.7
E00010340,26,2.1,63,8.9
E00010341,23.5,3.6,62.4,10.4
E00010342,23,2.7,66.8,7.5
E00010343,52.4,8.1,27.4,12.1
E00010344,25.9,3.1,64.8,6.2
E00010345,23.7,6.2,64.5,5.7
E00010346,28.5,8.7,58,4.8
E00010347,21.7,0.6,69.1,8.6
E00010348,27.3,4,61.3,7.3
E00010349,28.9,6,57.7,7.5
E00010350,30.5,3.5,56,10
E00010351,25.4,5.6,60.9,8.1
E00010352,21.8,4.8,64.8,8.5
E00010353,33.6,7.8,50.9,7.8
E00010354,25,3.9,57.8,13.3
E00010355,28.8,1.4,62.6,7.2
E00010356,17,3.4,75.5,4.1
E00010357,22.8,3,66.8,7.4
E00010358,30.5,4.6,58.6,6.3
E00010359,29.2,3.2,55.8,11.7
E00010360,35.9,9,45.5,9.7
E00010361,29.9,7.6,52.1,10.4
E00010362,19.4,5,64.4,11.1
E00010363,27.7,5.8,58.4,8.1
E00010364,23.7,6.1,64.1,6.1
E00010365,54,7.1,27,11.9
E00010366,24.4,1.3,65.4,9
