geography_code,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00066163,93.1,4.7,0.6,0.6,1
E00066164,97.1,1.9,0.2,0.5,0.2
E00066165,95.3,3.6,0,0,1.2
E00066166,92.5,5.4,1.4,0.4,0.4
E00066167,97,2.7,0,0.3,0
E00066168,93.3,6.3,0,0.4,0
E00066169,94.8,4.9,0,0.3,0
E00066170,98.3,1.7,0,0,0
E00066171,98.1,1.6,0,0.3,0
E00066172,95.5,3.8,0.3,0.3,0
E00066173,93.5,2.8,0.8,2.5,0.3
E00066174,97.9,0,1.4,0,0.7
E00066175,95.3,3.7,1,0,0
E00066176,97.4,0.9,0.4,1.3,0
E00066177,97.5,1.8,0,0,0.7
E00066178,95.6,3.9,0,0.4,0
E00066179,95.5,3.7,0,0.7,0
E00066180,96.5,2.1,1,0.3,0
E00066181,96.8,3.2,0,0,0
E00066182,95.2,4.8,0,0,0
E00066183,98.8,1.2,0,0,0
E00066184,94.5,4.5,0,0,1
E00066185,97.8,2.2,0,0,0
E00066186,97.4,2.3,0,0,0.3
E00066187,96.3,2,0.7,0,1
E00066188,98.3,1.7,0,0,0
E00066189,97.1,2.6,0,0.3,0
E00066190,96.2,1.4,0,0.7,1.7
E00066191,96.6,1.4,1.4,0.3,0.3
E00066192,96.1,3.5,0.4,0,0
E00066193,97.8,1.9,0.3,0,0
E00066194,94,1.7,1.3,0.9,2.1
E00066195,99.6,0.4,0,0,0
E00066207,94.8,4.7,0,0.4,0
E00066212,98.8,1.2,0,0,0
E00066213,97.8,1.8,0.5,0,0
E00066215,96.3,2.9,0.3,0,0.6
E00066217,96.8,2.4,0.6,0.2,0
E00066218,98.2,1.5,0.3,0,0
E00066219,92.2,5.7,0,1.8,0.4
E00066220,93.9,3.1,1.8,1,0.3
E00066221,99.6,0.4,0,0,0
E00066223,93,3.6,1.5,0.3,1.5
E00066224,95.8,3.2,0.3,0.3,0.3
E00066225,96.2,1.1,0.8,1.5,0.4
