areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00096388,93.9,0.3,5.8
E00096390,96.7,0.2,3
E00096391,95.6,1.8,2.6
E00096392,93.7,0.4,6
E00096393,98.1,0.3,1.6
E00096394,97,0.3,2.7
E00096395,96.7,0.7,2.6
E00096396,95.8,0.7,3.5
E00096397,96.4,0.3,3.3
E00096398,96.2,0.9,2.9
E00096399,98.6,0,1.4
E00102756,97.3,0.7,2.1
E00102757,99.7,0,0.3
E00102759,97.3,1,1.7
E00102760,98.6,0,1.4
E00102780,96.7,1.4,1.9
E00102785,97.6,1.6,0.8
E00102971,97.3,0,2.7
E00102972,94.5,2.8,2.8
E00102975,95.9,1.6,2.4
E00103009,99.2,0,0.8
E00103053,98.3,0.7,1
E00103054,94.6,0.8,4.6
E00103055,97,0.9,2.1
E00103056,95.9,1.7,2.4
E00172769,98.1,0.8,1.1
E00172774,96.2,0.8,3.1
E00172775,97.3,0.7,2
E00172776,91.2,1.4,7.4
E00172777,93.8,0,6.2
E00172778,92.4,0,7.6
E00172779,96.9,1.3,1.8
E00172780,99.4,0,0.6
E00172781,99.7,0,0.3
E00172782,91.9,0.6,7.5
E00172783,97.8,1.4,0.7
E00172785,94.1,0,5.9
E00172788,97.6,0,2.4
E00172789,94.5,1.3,4.2
E00172793,97.2,0.3,2.5
E00172795,97.9,0.2,1.9
E00172796,98.5,1.1,0.4
E00172797,99.8,0,0.2
E00172799,95.9,1,3.1
E00172805,97.7,0.8,1.5
E00172806,99.2,0.3,0.5
E00172807,96.9,0.5,2.7
E00172809,96.8,1.1,2.1
E00172817,98.8,0.3,0.9
E00172818,96.5,0,3.5
E00172819,96.2,0.3,3.5
E00172820,96.3,0.7,3
E00172821,98.3,0,1.7
E00172822,95.2,0.3,4.5
E00172823,97.6,0,2.4
E00172824,99,0,1
E00172825,98.6,0.4,1.1
E00172826,98.5,0.7,0.7
E00172830,97.2,1.6,1.2
E00172831,88.3,0,11.7
E00172833,95.6,0.8,3.6
E00172834,97.3,0.5,2.2
E00182750,97.9,2.1,0
E00182752,95.8,0.8,3.4
E00182753,98,0,2
E00182756,98.6,0,1.4
E00182764,91.4,1.4,7.2
E00182765,96.6,0.2,3.2
E00182770,99.1,0,0.9
E00182774,94.3,1.9,3.8
E00182776,97.2,0.7,2.1
E00182780,62.7,1.9,35.3
E00182784,99.1,0.2,0.7
E00182786,98.2,1.2,0.6
E00182787,95.2,0,4.8
E00182790,95.3,1.3,3.4
E00182791,96.8,0.2,2.9
E00182792,97.4,0.5,2.1
E00182793,95.8,1.7,2.5
E00182797,95.5,0,4.5
E00182799,98.9,0,1.1
E00182803,98.3,0.3,1.4
