areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E02000629,81.6,9.4,1.6,7.4
E02000630,84.1,7.7,0.9,7.2
E02000631,80.1,9.9,1.4,8.6
E02000632,83.4,8.9,0.8,6.8
E02000633,78.4,10.7,1.8,9.1
E02000634,79.8,9.5,2.3,8.4
E02000635,84,9.1,1.4,5.5
E02000636,85.2,8.5,1.2,5.1
E02000637,81.4,8.9,1.2,8.6
E02000638,77.6,10.6,2.3,9.6
E02000639,71.1,12.4,2.3,14.1
E02000640,85.3,8.5,1.4,4.8
E02000641,74.3,12,3.7,10
E02000642,84.2,7.3,1.6,6.9
E02000643,77.9,10.3,2,9.8
E02000644,78,9.6,2.5,10
E02000645,79.9,7.4,2.4,10.3
E02000646,74.5,10.4,2.5,12.5
E02000647,82.1,8.9,1.6,7.3
E02000648,81.9,8.5,2.6,7
E02000649,71.6,8.9,3.6,15.8
E02000650,83.2,7.9,2.5,6.5
E02000651,74.5,10,2.8,12.7
E02000652,67.7,13.8,3,15.5
E02000653,66.9,13.7,3,16.3
E02000654,73,12.8,3.2,11
E02000655,71.4,10.1,3.3,15.2
E02000657,78,9.8,2,10.2
E02000658,78.6,9.7,2,9.7
E02000659,81.4,7.7,1.7,9.1
E02000660,81.1,7.8,2.1,9
E02000662,80.8,9.4,1.9,7.8
E02000663,81.2,9.2,1.7,7.8
E02000666,85,7.5,2.2,5.4
E02000667,86.5,7.4,1.2,4.8
E02000669,77.9,8.6,3,10.5
E02000670,78.2,8.2,3.9,9.7
E02000671,85.5,6.7,1.7,6.1
E02000672,77.4,9.4,2.8,10.5
E02000673,86.5,6.8,1.8,4.9
E02000674,82.4,8.3,3,6.3
E02000676,86.6,6.4,1.5,5.6
E02000677,79.3,10.1,2.2,8.4
E02000679,84.4,7.3,1.8,6.5
E02000680,82.6,7.2,2.4,7.8
E02000681,82.4,7.2,2.6,7.8
E02000682,78.8,9.9,3.5,7.7
E02000685,84,7.6,2.5,6
E02000686,80.5,7.1,3.3,9
E02000687,85,6.9,2.1,5.9
E02000689,78.5,10.4,2.2,8.9
E02000690,84.5,8.6,1.8,5.1
E02000691,78.1,9.7,2.6,9.7
E02000692,78.9,8.2,2.2,10.7
E02000693,75.1,9.2,2.4,13.4
E02000694,79.3,8.8,2.6,9.2
E02000695,64.7,15.5,4.2,15.6
E02000696,66.5,10.7,5.2,17.6
E02000697,75.9,9.9,2.5,11.8
E02000698,81.9,8.8,2.8,6.5
E02000699,78.5,9.6,3.9,8
E02000700,69.4,11.1,4.3,15.2
E02000701,62.8,14.3,5.5,17.3
E02000702,71.1,12.2,5.7,11
E02000703,79.1,11.3,2.1,7.6
E02000704,76.9,10,2.9,10.2
E02000705,67.1,14.1,4.9,13.8
E02000706,65.3,14,6.3,14.4
E02000707,74.6,11.2,4,10.2
E02000708,75.1,11.4,3.3,10.2
E02000709,80.6,10.3,2.7,6.3
E02000710,72.2,10.2,4.9,12.8
E02000711,65.8,13.4,5,15.8
E02000712,72.8,11.6,4.5,11.2
E02000713,83.3,7.8,2.8,6
E02000784,83.1,9.1,2.1,5.7
E02000785,85,6.8,1.5,6.7
E02000786,86.1,6.8,1.8,5.3
E02000787,80.5,8.5,2.7,8.3
E02000788,84.9,7,2.1,6
E02000789,83.3,7.4,1.8,7.6
E02000790,86.8,6.5,1.7,5
E02000791,79.9,8.3,2.7,9.2
E02000792,83.4,7.3,2.2,7.1
E02000793,83.1,7.2,2.1,7.6
E02000794,84.4,7.5,2.2,5.9
E02000795,84.7,7.3,2,5.9
E02000796,77.6,10.5,3,8.8
E02000797,85.9,5.5,1.8,6.9
E02000798,86.6,6.6,2.5,4.2
E02000799,89.9,4.7,1.4,4
E02000800,81.5,8.8,3.4,6.3
E02000801,89.1,5.5,1.2,4.2
E02000802,89.7,4.9,1.4,4
E02000803,86.6,6.3,2.1,4.9
E02000804,89.3,5.4,1.1,4.2
E02000805,87.7,5.4,1.7,5.1
E02000806,90.4,4.9,1.1,3.7
E02000807,72.5,11.4,2.1,13.9
E02000808,73.6,9.7,1.1,15.6
E02000810,75.6,10.4,2.1,11.9
E02000812,74.5,11.8,2,11.6
E02000813,71.3,11.2,2.2,15.3
E02000814,68.6,13.1,2.4,16
E02000815,68.2,12.3,2.5,17
E02000816,73.9,9.1,2.9,14.1
E02000817,77.8,8.5,3.1,10.6
E02000818,72.5,11.8,1.9,13.8
E02000819,70.1,11.3,3.5,15.1
E02000820,74.9,10,2.1,13.1
E02000821,66.8,13.6,4.3,15.3
E02000822,71.6,11.4,4.1,12.9
E02000823,73.2,11.7,3.2,11.9
E02000824,73.5,11.9,3.1,11.6
E02000825,73.1,11.3,3.9,11.7
E02000826,75.9,9.8,2.5,11.8
E02000827,73.6,9.8,3.3,13.3
E02000828,74.1,11,3.4,11.5
E02000829,81.8,7.7,2.1,8.4
E02000830,82.1,8.9,1.3,7.7
E02000831,84.9,7.8,1.4,5.9
E02000832,86,7,1.6,5.5
E02000833,79.5,9.3,2.5,8.6
E02000834,87.9,6.4,1,4.7
E02000835,87.5,7,2,3.5
E02000836,88.6,6.7,1,3.7
E02000837,88.7,7.5,1.3,2.5
E02000838,84.8,8,1.5,5.7
E02000839,84.5,7.3,3.4,4.8
E02000840,81.2,7.1,4.2,7.5
E02000841,77.6,8.9,4.6,9
E02000842,81.3,7.9,3.6,7.2
E02000843,83.8,6,3.2,7
E02000844,84.4,6.8,3,5.7
E02000845,83.5,7.9,3,5.6
E02000846,79.1,8.4,4.7,7.9
E02000847,85.4,6.4,2.9,5.3
E02000848,84.7,6.7,3.7,4.8
E02000849,87.1,5.6,2.2,5.1
E02000850,85.4,7.5,2.7,4.4
E02000851,73.6,7.4,4.2,14.8
E02000852,82.5,6,3.8,7.7
E02000853,80.4,7.2,4.3,8.1
E02000854,89.4,5,1.8,3.7
E02000855,88.8,6.1,2,3.2
E02000856,83.9,5.8,2.8,7.6
E02000857,76.7,6.8,4.4,12.1
E02000858,83,6.8,3.2,7
E02000859,87.9,4.9,2.3,4.8
E02000860,76.4,6.7,4,13
E02000861,87.1,6.5,2.6,3.9
E02000863,87.4,7.4,2,3.2
E02000864,75.8,13.4,2.5,8.3
E02000865,68.4,19.1,3.2,9.3
E02000866,76.1,13.8,1.8,8.3
E02000867,72.3,14.6,2,11
E02000868,68.1,18.8,2.3,10.8
E02000869,71,14.9,2.2,11.9
E02000870,68.3,18.3,3.1,10.3
E02000871,61.3,19.7,5.2,13.8
E02000872,62.8,20.6,3,13.6
E02000873,60.1,21.9,4.7,13.3
E02000874,57.7,22.9,4.8,14.6
E02000875,62.4,19.9,4.1,13.6
E02000876,58.4,19.9,3.3,18.4
E02000877,60.7,21.6,4.7,13
E02000878,57.5,20.6,2.3,19.5
E02000879,59.2,21.4,4.5,14.9
E02000880,55.5,22.1,5,17.3
E02000881,60.7,20.8,4.2,14.4
E02000882,59.5,24.4,2.9,13.2
E02000883,56.6,22.8,5.4,15.2
E02000884,55,18,2.7,24.3
E02000885,53.7,24.4,4.5,17.4
E02000886,62.9,19,2.9,15.2
E02000887,59.4,19,4.7,16.8
E02000888,60.7,19.1,4.3,15.9
E02000889,64.5,15.4,2.8,17.3
E02000890,76,11.4,1,11.6
E02000893,64.2,16,3.9,15.9
E02000894,62.2,16,3.3,18.5
E02000900,74.2,12.2,4.4,9.3
E02000902,75.3,12.3,4.2,8.2
E02000903,71.5,13.8,4.4,10.3
E02000904,75.2,11.5,3.1,10.2
E02000905,70.2,13.7,3.4,12.6
E02000906,70.5,14.4,3.8,11.3
E02000907,70.4,12.5,4.4,12.7
E02000908,71.3,11.6,3.8,13.3
E02000909,77.6,10.5,3.6,8.4
E02000910,68.7,13.1,4.1,14.1
E02000911,67,14.6,4.2,14.1
E02000912,68.4,16.6,3.6,11.3
E02000913,67.5,16.4,3.6,12.5
E02000914,60.1,16.6,5.9,17.4
E02000916,67.6,13.8,4.5,14.1
E02000917,67.8,12.2,4.2,15.8
E02000919,62.6,15.7,3.2,18.6
E02000920,64.6,16.3,3.3,15.8
E02000923,75.6,10,1.9,12.5
E02000925,75.2,11.2,3.1,10.5
E02000926,76.5,9.7,2.1,11.8
E02000927,84.1,7.8,1.3,6.7
E02000928,86.2,7.4,1.4,5
E02000929,69.1,11.8,3.9,15.2
E02000930,81.7,8.2,1.7,8.4
E02000931,83,9.1,2.4,5.5
E02000932,80.6,8.2,1.7,9.5
E02000933,81.3,8.5,1.4,8.8
E02000934,83.1,8.1,0.8,8.1
E02000935,68.5,12.2,5.2,14.2
