geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02005921,87.5,0.4,11.8,0.4
E02005922,88.4,0.2,10.7,0.8
E02005923,91.2,0.2,7.6,1.1
E02005924,83.7,0.3,14.4,1.7
E02005925,92.4,0.1,6.9,0.5
E02005926,88.7,0.3,10.1,0.9
E02005927,87.3,0.3,10.8,1.6
E02005928,89,0.3,10.1,0.5
E02005930,88.3,0.2,10.5,1
E02005931,86.5,0.2,12.1,1.3
E02005932,89.7,0.3,9.2,0.8
E02005933,89.5,0.3,9.2,1.1
E02005934,90.7,0.3,8,0.9
E02005935,85.5,0.3,12.9,1.3
E02005936,86,0.2,12.8,1
E02005937,90,0.3,9.1,0.6
E02005938,91.3,0.2,7.4,1
E02005939,90.3,0.3,8.5,1
E02005940,84.5,0.8,12.3,2.4
E02005941,81.1,1.7,13.3,3.9
E02005942,74.4,3.2,16.1,6.2
E02005943,79.4,2.3,15.1,3.3
E02005944,87.2,0.6,9.7,2.4
E02005945,68.9,4.2,21.9,5
E02005946,83.8,1.3,12.8,2.1
E02005947,43.1,11.7,32.9,12.3
E02005948,71.8,5.3,18,5
E02005949,69,5.4,21.3,4.4
E02005950,56.2,14.6,25.3,3.8
E02005951,79.6,2.9,14.6,2.8
E02005953,73.8,4.7,19.6,1.9
E02005954,85.8,1,11,2.2
E02005955,87.7,0.3,10.4,1.6
E02005956,91.9,0.4,6.9,0.8
E02005957,90.8,0.5,8.2,0.5
E02005958,90.9,0.3,8.1,0.6
E02005959,89.3,0.7,9,0.9
E02005960,89.8,0.3,9.3,0.6
E02005961,90,0.3,9.1,0.7
E02005962,89.9,0.3,9.5,0.3
E02005963,91.7,0.3,7.4,0.7
E02005964,90.1,0.3,9.1,0.5
E02005965,90.6,0.3,8.4,0.8
E02005978,88.8,0.5,9.4,1.3
E02005979,85.4,1.4,11.4,1.8
E02005980,85.6,0.6,12.4,1.4
E02005981,91.4,0.3,7.5,0.7
E02005982,89.7,0.2,9.3,0.8
E02005983,85.4,0.6,12.6,1.4
E02005985,90.2,0.3,8.6,1
E02005987,89.3,0.3,9.9,0.4
E02005996,88.3,0.3,10.5,0.9
E02005998,88.3,0.3,10.9,0.6
E02006003,86.7,0.3,12.3,0.7
E02006493,89.9,0.2,9,0.9
E02006494,85.9,0.3,12.3,1.6
E02006496,84.5,0.2,13.1,2.2
E02006497,88,0.1,10.4,1.4
E02006498,91.7,0.2,7.7,0.4
E02006499,91.4,0.1,7.7,0.8
E02006500,84.8,1.3,12.3,1.6
E02006501,90.6,0.2,8.6,0.5
E02006502,92.1,0.1,7.3,0.5
E02006503,87.8,0.3,11.5,0.4
E02006507,86.6,0.2,12.7,0.5
E02006823,91,0.4,8.1,0.5
E02006824,92.4,0.3,7.1,0.3
E02006862,92.5,0.2,6.7,0.6
E02006863,88.8,0.2,10,1
E02006873,88.3,0.3,9.8,1.6
E02006874,90.5,0.2,8.7,0.6
E02006937,82.7,0.2,14.1,3
