areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00161799,20.7,38,31.4,9.9
E00161801,59.2,35.5,1.3,3.9
E00161802,40.3,40.3,5.2,14.2
E00161819,53.1,39.2,0,7.7
E00161825,54.8,37.3,1.6,6.3
E00170892,27.8,44.3,11.3,16.5
E00170897,53.1,37.1,0,9.8
E00170899,39.2,39.9,9.1,11.9
E00172107,8.8,29.2,19.3,42.7
E00172108,14.3,39.8,13.5,32.3
E00172109,0.8,32.8,29.6,36.8
E00172110,7.2,15.8,50.4,26.6
E00172111,27.1,49,0,24
E00172112,8.4,33.6,24.4,33.6
E00181213,22.2,46.8,20.9,10.1
E00181222,23,52,21,4
E00181244,8,11.5,80.5,0
E00181266,58.7,34.7,0,6.6
E00186671,29.2,39.4,11.7,19.7
E00186677,45.2,24.4,5.2,25.2
E00186695,48,41.3,1.3,9.3
E00186703,32.3,20.3,0.8,46.6
E00186729,14.3,70.4,3.1,12.1
E00186742,6.8,15.9,56.8,20.5
E00186769,2.7,65.3,25.3,6.7
E00186775,24.7,15.3,5.3,54.7
E00186791,7.3,8.8,12.4,71.5
E00186794,31.2,16.7,33.3,18.8
E00186809,23.7,26.3,1.3,48.7
E00186827,15.1,74.8,0.6,9.4
E00188598,35.1,46.6,10.5,7.9
E00188712,38.1,43.4,14.2,4.4
