geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00180776,42.5,18,37.1,2.4
E00180777,20.3,7.8,64.1,7.8
E00180779,45,24.8,27.8,2.5
E00180780,14.2,23.5,58,4.3
E00180781,34,22,42.1,1.9
E00180782,23.8,24.4,48.1,3.8
E00180783,41.4,22.9,33.1,2.5
E00180785,36,24,36,4
E00180786,6.8,12.4,65.5,15.3
E00180787,39.2,21.5,34.2,5
E00180788,23.6,23.6,51,1.9
E00180789,6.1,8.8,76.7,8.4
E00180790,7.5,7.9,72.5,12.1
E00180791,3.4,8.1,77.1,11.4
E00180792,46.5,18.1,31.3,4.2
E00180793,38.5,17.6,37.4,6.6
E00180794,7.1,4.2,71.8,16.9
E00180795,8.6,2,76.3,13.2
E00180796,9,5.1,74.4,11.5
E00180802,12.4,20.5,63.2,3.8
E00180804,5.1,6.9,69.1,18.9
E00180806,8.8,14.3,64.8,12.1
E00180814,26.2,12.1,57,4.7
E00180817,7.8,14.7,72.4,5.2
E00180818,10.8,10.8,71.1,7.2
E00180819,19,25.7,48.6,6.7
E00180820,15.5,20.7,56.9,6.9
E00180824,8.7,9.2,70.4,11.7
E00180828,3.2,15.7,64.9,16.2
E00180829,13.7,41.2,41.2,3.9
E00180833,31.9,25.5,38.3,4.3
E00180834,11.1,18.1,63.9,6.9
E00180837,1.7,5.6,81.5,11.2
E00180838,8.7,17.3,66.3,7.7
E00180842,9.6,8.4,69.9,12
E00180843,22.5,18.8,52.5,6.3
E00180845,2.9,23.5,67.6,5.9
E00180846,3.4,6.1,77.7,12.8
E00180847,15.9,27.1,49.5,7.5
E00180849,5.8,7.5,75.4,11.3
E00180851,4.6,4.6,76.5,14.3
E00180853,7.3,4.1,80.3,8.3
E00180854,32.8,20.6,43.5,3.1
E00180857,4.8,6.9,83.1,5.3
E00180858,27.9,4.7,67.4,0
E00180859,9.2,6.9,74.2,9.7
E00180860,16.9,23.6,56.2,3.4
E00180862,42.9,24.1,32.1,0.9
E00180863,2.5,12.3,65.4,19.8
E00180865,7.1,9,75,9
E00180866,3.8,12.3,75.8,8.1
E00180867,9.2,19.6,66,5.2
E00180870,4.7,8,77.3,10
E00180871,24.4,35.4,40.2,0
E00180873,15.2,32.6,52.2,0
E00180875,17.2,36.2,37.9,8.6
E00180876,3.3,5.5,81.6,9.6
E00180880,6.6,24.8,59.1,9.5
E00180881,2,7.3,82.7,8
E00180883,2.1,7.6,77.1,13.2
E00180884,17.5,30,45,7.5
E00180885,4.9,5.9,77.6,11.5
E00180889,4.4,11.5,72.6,11.5
E00180890,7.4,18.4,64.8,9.4
E00180891,6.4,7.3,80.7,5.5
E00180893,17.1,42.9,37.1,2.9
E00180896,32,24.2,42.2,1.6
E00180898,5,6.9,77.7,10.4
E00180899,26.8,37.8,35.4,0
E00180900,9.9,17.7,62.4,9.9
E00180903,15.6,23.8,55.1,5.4
E00180904,27.3,10.9,60,1.8
E00180905,5.6,6.6,76.1,11.8
E00180908,21.5,38.2,40.3,0
E00180911,34.1,26.8,34.1,4.9
E00180912,16.7,14.2,59.9,9.3
E00180915,14.4,19.3,62.6,3.7
E00180918,3.2,6.4,83.6,6.8
E00180919,12,18,65,5
E00180921,10.5,21.8,64.5,3.2
E00180923,2.2,5.2,74.9,17.7
E00180924,14.1,32.2,50.7,2.9
E00180925,4.4,5.2,84.1,6.3
E00180926,14.9,25,58.1,2
E00180927,7.3,8.1,74.2,10.5
E00180928,10.2,44.9,44.9,0
E00180931,15.6,28.1,52.1,4.2
E00180932,13.3,17.8,62.2,6.7
E00180933,3.9,15.5,65.2,15.5
E00180934,6.9,5.9,81.2,5.9
E00180935,11.2,7,69.2,12.6
E00180937,22.6,18,52.6,6.8
E00180938,4.1,15.7,71.6,8.6
E00180940,11,20.5,61.5,7
E00180941,6.7,6.2,77.7,9.4
E00180942,15.2,29.3,49.5,6.1
E00180943,8.8,34.4,49.6,7.2
E00180944,7.6,10.4,68.4,13.5
E00180945,33.6,25.9,38.5,2
E00180946,49.6,19.3,29.1,2
E00180947,3.6,2.7,84.7,9.1
E00180948,3.2,7,77.5,12.3
E00180949,3.9,7.8,75.5,12.8
E00180950,4.8,9.5,74.3,11.4
E00181565,7.7,26.9,65.4,0
E00181566,9.5,19.1,67.8,3.5
E00181567,5.3,14.5,71.1,9.2
E00181568,3.2,9.4,82.1,5.3
E00181569,9.4,11.1,72.2,7.3
E00181570,18.3,27.9,50.3,3.6
E00181571,8.5,9.6,76.6,5.3
E00181572,18,22.3,52.5,7.2
E00181577,9.6,16.9,65.1,8.4
E00181578,11.5,24.6,56.9,6.9
E00181579,12.1,20.3,59.5,8.2
E00181580,9.9,19.4,61.2,9.5
E00181581,0,10.4,83.7,5.9
E00181582,12.5,27.5,48.8,11.3
E00181583,14.4,19.4,57.6,8.6
E00181584,12.4,29,48.3,10.3
E00181586,6.8,9.2,77.2,6.8
E00181587,7.7,15.1,69.1,8
E00181590,4.7,16.1,73.2,6
E00181591,10.1,14,72,3.9
E00181592,8.2,6.1,75.5,10.2
E00181593,4.3,5,84.2,6.5
E00181594,10.5,15.8,66.7,7
E00181595,9.5,12.2,72.4,5.9
E00181596,5.6,3.5,80.4,10.5
E00181597,7.5,10.3,74.7,7.5
E00181599,2.7,1.6,87.4,8.2
E00181600,3.3,6.6,74.5,15.6
E00181603,2,5.4,87.9,4.7
E00181604,4.1,10.8,76.6,8.6
E00181608,4.1,9.6,76.4,9.9
E00181610,1.5,4.5,77.3,16.7
E00181616,3.8,10.7,75.5,10
E00181628,7.9,9.7,71.5,10.9
E00181629,7.5,8.9,72.9,10.6
E00181633,2.8,5.7,78,13.4
E00181634,6.7,8.9,76.7,7.8
E00181636,7.2,8.6,78,6.3
E00181641,8.9,9.6,74.5,7
E00181642,6.5,8.9,76.9,7.7
E00181650,2.2,6,79,12.8
E00181655,9.2,6.9,77.3,6.5
E00181660,12.8,21.1,58.7,7.3
E00181668,5,6.1,79.1,9.8
E00181670,11.7,5.9,69.1,13.3
E00181674,2.8,18,70.6,8.5
E00181676,8.6,16,69.3,6.1
E00181677,2.9,4.6,80.6,12
E00181683,7.1,5.1,79.5,8.3
E00181684,6.7,12.9,73.6,6.7
E00181685,4.1,5,79.1,11.8
E00181689,5.4,10.4,82.2,2
E00181692,3.1,14.3,70.8,11.8
E00181698,5.4,7.8,76.1,10.8
E00181701,9,6.7,72.4,11.9
E00181704,7.1,30.6,55.3,7.1
E00181705,8.6,12.2,71.2,7.9
E00181708,3.7,8.7,82,5.6
E00181715,2.8,8.5,78,10.6
E00181716,7.1,13.5,75.9,3.5
