areacd,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00165511,9.8,21.6,55.9,12.7
E00165512,7.6,26.8,55.4,10.2
E00165513,12.6,23.2,51,13.2
E00165514,8.2,24.7,59.8,7.2
E00165515,9.4,18.8,56.3,15.6
E00165516,9.2,31.2,51.8,7.8
E00165517,12.4,16.6,61.4,9.7
E00165518,14.2,24.5,57.4,3.9
E00165519,10.6,21.1,59.2,9.2
E00165520,10.5,20.3,64.3,4.9
E00165521,8.8,20.4,57.5,13.3
E00165522,9.6,22.8,61.4,6.1
E00165523,7.7,22.6,61.9,7.7
E00165524,1.2,20.2,64.3,14.3
E00165525,11.4,22.2,54.4,12
E00165526,12.3,17.4,56.5,13.8
E00165527,5.3,24.6,62,8.2
E00165528,6.8,19.3,61.7,12.2
E00165529,12,19.2,60,8.8
E00165530,10.8,28.3,55.8,5
E00165531,11.7,19.3,60.2,8.8
E00165532,10.1,26.1,50.7,13
E00165533,3.9,26,66.9,3.1
E00165534,12.3,21.3,56.6,9.8
E00165535,8.3,19.2,58.3,14.1
E00165536,7.5,25.8,59.2,7.5
E00165537,7.5,17.8,63,11.6
E00165538,8.3,23.1,61.1,7.4
E00165539,5,19,67.8,8.3
E00165540,11.8,17.6,60.3,10.3
E00165541,6.3,15.7,64.8,13.2
E00165542,6.3,39.7,42.9,11.1
E00165543,8.8,23,60.1,8.1
E00165544,7.7,22.6,57.1,12.5
E00165545,11.3,20.6,56,12.1
E00165546,11.7,21.3,59.6,7.4
E00165547,6.1,24.3,59.1,10.4
E00165548,9.6,27.4,57.5,5.5
E00165549,9.6,23.7,56.1,10.6
E00165550,9.2,18.3,63.3,9.2
E00165551,10.8,14.9,62.4,11.9
E00165552,10.4,19.2,61.6,8.8
E00165554,8.5,16.1,64.4,11
E00165555,10.7,18.2,56.2,14.9
E00165556,8.7,25.2,55.1,11
E00165558,11,20,57,12
E00165559,5.3,19.7,56.8,18.2
E00165560,7.3,23.6,52,17.1
E00165561,8.3,15.3,63.1,13.4
E00165562,8.8,22.1,60.2,8.8
E00165563,8,19.6,59.4,13
E00165564,5.8,22.1,63,9.1
E00165565,8.9,17,62.5,11.6
E00165566,15.1,20.8,58.5,5.7
E00165567,15.1,16.7,55.8,12.5
E00165568,3.2,25.4,58.7,12.7
E00165569,7,23.3,59.3,10.5
E00165570,16.4,18.9,53.3,11.5
E00165571,11.1,16.7,61.1,11.1
E00165572,9,33.3,50,7.7
E00165573,6.9,17.2,69.8,6
E00165574,4.9,26.5,61.8,6.9
E00165575,9.2,22.5,58.5,9.9
E00165576,13.3,28.9,50,7.8
E00165577,12.2,14.6,64.6,8.5
E00165578,11.9,23.7,53.4,11
E00165579,12.3,15.1,54.1,18.5
E00165580,8.2,19.4,62.2,10.2
E00165581,5.2,20.9,65.2,8.7
E00165582,16.1,16.9,56.5,10.5
E00165583,10.1,20.2,54.5,15.2
E00165584,6.2,20.4,64.6,8.8
E00165585,8.8,25.2,58.5,7.5
E00165586,13.6,15.3,53.4,17.8
E00165587,10.7,23.2,52.7,13.4
E00165588,5.8,25.8,60.8,7.5
E00165589,9.8,31.4,51,7.8
E00165590,6,21.1,62.4,10.5
E00165591,13.4,28.9,50.7,7
E00165592,6.9,15.3,68.1,9.7
E00165593,5.9,26.9,59.7,7.6
E00165594,0,28.9,65.8,5.3
E00165595,7.4,29.8,52.9,9.9
E00165596,8.6,16.1,65.6,9.7
E00165597,8.5,23.4,58.7,9.5
E00165598,11.5,21.8,64.1,2.6
E00165599,13.3,31.1,47.8,7.8
E00165600,12.6,29.1,53.4,4.9
E00165601,7.2,19.6,67.4,5.8
E00165602,5.2,20.5,65.5,8.8
E00165603,8.8,26.5,50,14.7
E00165605,11.4,22.8,56.3,9.5
E00165606,13.2,22.8,55.3,8.8
E00165607,9.2,30.8,53.3,6.7
E00165608,7.5,20.3,61.7,10.5
E00165609,10.1,18.1,63.8,8
E00165610,6.2,21,56.9,15.9
E00165611,17,17.7,51.1,14.2
E00165612,8.1,23.5,54.4,14
E00165613,15.6,21,42.5,21
E00165614,12.5,25.8,48.3,13.3
E00165615,16.8,16.1,46.2,21
E00165616,15.4,23.1,49.4,12.2
E00165617,13.2,21.2,53.6,11.9
E00165618,15,19.6,39.9,25.5
E00165619,8.5,26.1,53.9,11.5
E00165620,10.7,22,59.5,7.8
E00165621,8.7,19.3,55.3,16.8
E00165622,6.3,21.5,66,6.3
